id,label,rationale
95,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
136,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
59,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
60,1,The character's actions align with the backstory constraint: 'First rescue: in 1852 an avalanche buried a silver...'
124,1,The character's actions align with the backstory constraint: 'On the Marseille quay he noticed young Caderousse ...'
111,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
135,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
27,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
110,1,The character's actions align with the backstory constraint: 'He kept a locked study full of revolutionary pamph...'
42,1,The character's actions align with the backstory constraint: 'He accepted a lucrative berth on the British merch...'
56,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
80,1,"The character's actions align with the backstory constraint: 'At ten he began learning tactics, spear-craft and ...'"
28,1,The character's actions align with the backstory constraint: 'The mate of the merchant Emerald Bird took him on ...'
101,1,"The character's actions align with the backstory constraint: 'At eighteen he joined a radical republican cell, s...'"
91,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
24,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
119,1,"The character's actions align with the backstory constraint: 'First confined in Fenestrella Fortress, he scratch...'"
93,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
72,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
16,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
30,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
97,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
22,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
53,1,The character's actions align with the backstory constraint: 'While gentling Thaouka they plunged off a cliff; b...'
58,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
81,1,The character's actions align with the backstory constraint: 'When he was fourteen a whaling crew coveted the is...'
47,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
7,1,The character's actions align with the backstory constraint: 'Leading a scientific party he insisted on travelli...'
121,1,The character's actions align with the backstory constraint: 'Aboard the prison transport he met Edmond Dantès’ ...'
129,1,The character's actions align with the backstory constraint: 'He learnt to carve fish-bone pen-nibs from an old ...'
51,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
127,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
133,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
52,1,The character's actions align with the backstory constraint: 'On the Patagonian frontier he trapped a wary black...'
114,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
2,1,The character's actions align with the backstory constraint: 'Caught secretly studying Latin in the church schoo...'
33,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
15,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
82,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
37,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
3,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
103,1,The character's actions align with the backstory constraint: 'As Napoleon climbed toward dictatorship Noirtier d...'
94,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
85,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
21,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
49,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
140,1,The character's actions align with the backstory constraint: 'Friendships forged in secret cells and exile susta...'
64,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
131,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
61,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
86,1,"The character's actions align with the backstory constraint: 'At first Glenarvan found him haughty and cold, yet...'"
38,1,The character's actions align with the backstory constraint: 'His quick temper and refusal to accept unjust puni...'
132,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
77,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
70,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
115,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
78,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
87,1,The character's actions align with the backstory constraint: '**Family Trauma**: His father was guillotined in 1...'
75,0,The action in the caption contradicts the established character trait or fear mentioned in the backstory.
44,1,The character's actions align with the backstory constraint: 'Solitude brought pride and remorse to the surface;...'
